"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\adjustPanelVideo.js", "JavaScript", 193, 9, 29, 231
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", 24, -40, -15, -31
"Total", "-", 217, -31, 14, 200
