"filename", "language", "JavaScript", "XML", "CSS", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\svg\video_black.svg", "XML", 0, -1, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.css", "CSS", 0, 0, 29, 0, 5, 34
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.js", "JavaScript", 134, 0, 0, 39, 9, 182
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.test.js", "JavaScript", 7, 0, 0, 0, 2, 9
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\api.js", "JavaScript", 22, 0, 0, 3, 5, 30
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\camera.svg", "XML", 0, 2, 0, 0, 0, 2
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\share.css", "CSS", 0, 0, 4, 0, 0, 4
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\shot.css", "CSS", 0, 0, 21, 0, 2, 23
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components-old\shot.js", "JavaScript", 71, 0, 0, 31, 8, 110
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\adjustPanel.js", "JavaScript", 151, 0, 0, 7, 22, 180
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\adjustPanelVideo.js", "JavaScript", 193, 0, 0, 9, 29, 231
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\board.css", "CSS", 0, 0, 45, 0, 5, 50
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\board.js", "JavaScript", 1225, 0, 0, 34, 133, 1392
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\collector.css", "CSS", 0, 0, 20, 0, 2, 22
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\collector.js", "JavaScript", 426, 0, 0, 30, 42, 498
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\maskCircle.css", "CSS", 0, 0, 17, 0, 2, 19
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\maskCircle.js", "JavaScript", 215, 0, 0, 7, 24, 246
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\materialPanel.css", "CSS", 0, 0, 63, 0, 9, 72
