"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", 86, 2, 7, 95
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\materialPanel.js", "JavaScript", 115, 10, 7, 132
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\utils.js", "JavaScript", 0, 0, -1, -1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\store\GlobalStore.js", "JavaScript", 22, 0, 0, 22
"Total", "-", 223, 12, 13, 248
