"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", 106, -80, 6, 32
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\materialPanel.js", "JavaScript", 4, 14, 1, 19
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\utils.js", "JavaScript", 0, 0, 1, 1
"Total", "-", 110, -66, 8, 52
