"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\App.js", "JavaScript", 29, 3, 6, 38
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\board.js", "JavaScript", 54, 68, 13, 135
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\components\materialPanel.js", "JavaScript", 18, 4, 2, 24
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\store\GlobalStore.js", "JavaScript", 38, 8, 2, 48
"Total", "-", 139, 83, 23, 245
