"filename", "language", "XML", "Python", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\gou.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\cloth.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\cloud.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\love.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\mask\qq.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\material.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\material_black.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\pencil.svg", "XML", -19, 0, 0, 0, 0, 0, -1, -20
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\plant_black.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\recorder.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\shape.svg", "XML", -19, 0, 0, 0, 0, 0, -1, -20
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\stop.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\texture_black.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Administrator\Desktop\zihan\final\naturesketch\src\svg\video_black.svg", "XML", -1, 0, 0, 0, 0, 0, 0, -1
"Total", "-", 659, 84, 390, -2977, -217, -20, -325, -2406
