"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", 158, 21, 33, 212
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\materialPanel.js", "JavaScript", -1, 1, -1, -1
"Total", "-", 157, 22, 32, 211
