"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\adjustPanel.css", "CSS", 0, 0, 0, 1, 1
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\adjustPanel.js", "JavaScript", 152, 0, 6, 22, 180
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\board.js", "JavaScript", 68, 0, 7, 6, 81
"c:\Users\A\Desktop\CHI\zihan\naturesketch\src\components\materialPanel.js", "JavaScript", 0, 0, -14, -1, -15
"Total", "-", 220, 0, -1, 28, 247
